Year,State,Tobacco Use,Demographic,Comparing (Focus group),Cigarette Use Prevalence % (Focus group),To (Reference group),Cigarette Use Prevalence % (Reference group),Disparity Value
2011,Alaska,Cigarette Use among Adults,Age,Age 65 or older,12.4,Age 25-44,26.3,0.5
2011,Alaska,Cigarette Use among Adults,Age,Age 65 or older,12.4,Age 45-64,23.1,0.5
2011,Arizona,Cigarette Use among Adults,Age,Age 18-24,19.2,Age 25-44,23.2,0.8
2011,Arizona,Cigarette Use among Adults,Age,Age 18-24,19.2,Age 45-64,20.6,0.9
2011,Arizona,Cigarette Use among Adults,Age,Age 18-24,19.2,Age 65 or older,9.0,2.1
2011,Arizona,Cigarette Use among Adults,Age,Age 25-44,23.2,Age 18-24,19.2,1.2
2011,Arizona,Cigarette Use among Adults,Age,Age 25-44,23.2,Age 45-64,20.6,1.1
2011,Arizona,Cigarette Use among Adults,Age,Age 25-44,23.2,Age 65 or older,9.0,2.6
2011,Arizona,Cigarette Use among Adults,Age,Age 45-64,20.6,Age 18-24,19.2,1.1
2011,Arizona,Cigarette Use among Adults,Age,Age 45-64,20.6,Age 25-44,23.2,0.9
2011,Arizona,Cigarette Use among Adults,Age,Age 45-64,20.6,Age 65 or older,9.0,2.3
2011,Arizona,Cigarette Use among Adults,Age,Age 65 or older,9.0,Age 18-24,19.2,0.5
2011,Arizona,Cigarette Use among Adults,Age,Age 65 or older,9.0,Age 25-44,23.2,0.4
2011,Arizona,Cigarette Use among Adults,Age,Age 65 or older,9.0,Age 45-64,20.6,0.4
2011,Arkansas,Cigarette Use among Adults,Age,Age 18-24,27.1,Age 25-44,33.0,0.8
2011,Arkansas,Cigarette Use among Adults,Age,Age 18-24,27.1,Age 45-64,29.6,0.9
2011,Arkansas,Cigarette Use among Adults,Age,Age 18-24,27.1,Age 65 or older,11.6,2.3
2011,Arkansas,Cigarette Use among Adults,Age,Age 25-44,33.0,Age 18-24,27.1,1.2
2011,Arkansas,Cigarette Use among Adults,Age,Age 25-44,33.0,Age 45-64,29.6,1.1
2011,Arkansas,Cigarette Use among Adults,Age,Age 25-44,33.0,Age 65 or older,11.6,2.8
2011,Arkansas,Cigarette Use among Adults,Age,Age 45-64,29.6,Age 18-24,27.1,1.1
2011,Arkansas,Cigarette Use among Adults,Age,Age 45-64,29.6,Age 25-44,33.0,0.9
2011,Arkansas,Cigarette Use among Adults,Age,Age 45-64,29.6,Age 65 or older,11.6,2.6
2011,Arkansas,Cigarette Use among Adults,Age,Age 65 or older,11.6,Age 18-24,27.1,0.4
2011,Arkansas,Cigarette Use among Adults,Age,Age 65 or older,11.6,Age 25-44,33.0,0.4
2011,Arkansas,Cigarette Use among Adults,Age,Age 65 or older,11.6,Age 45-64,29.6,0.4
2011,California,Cigarette Use among Adults,Age,Age 18-24,13.4,Age 25-44,16.4,0.8
2011,California,Cigarette Use among Adults,Age,Age 18-24,13.4,Age 45-64,13.7,1.0
2011,California,Cigarette Use among Adults,Age,Age 18-24,13.4,Age 65 or older,6.9,1.9
2011,California,Cigarette Use among Adults,Age,Age 25-44,16.4,Age 18-24,13.4,1.2
2011,California,Cigarette Use among Adults,Age,Age 25-44,16.4,Age 45-64,13.7,1.2
2011,California,Cigarette Use among Adults,Age,Age 25-44,16.4,Age 65 or older,6.9,2.4
2011,California,Cigarette Use among Adults,Age,Age 45-64,13.7,Age 18-24,13.4,1.0
2011,California,Cigarette Use among Adults,Age,Age 45-64,13.7,Age 25-44,16.4,0.8
2011,California,Cigarette Use among Adults,Age,Age 45-64,13.7,Age 65 or older,6.9,2.0
2011,California,Cigarette Use among Adults,Age,Age 65 or older,6.9,Age 18-24,13.4,0.5
2011,California,Cigarette Use among Adults,Age,Age 65 or older,6.9,Age 25-44,16.4,0.4
2011,California,Cigarette Use among Adults,Age,Age 65 or older,6.9,Age 45-64,13.7,0.5
2011,Colorado,Cigarette Use among Adults,Age,Age 18-24,21.6,Age 25-44,21.8,1.0
2011,Colorado,Cigarette Use among Adults,Age,Age 18-24,21.6,Age 45-64,17.3,1.2
2011,Colorado,Cigarette Use among Adults,Age,Age 18-24,21.6,Age 65 or older,8.8,2.5
2011,Colorado,Cigarette Use among Adults,Age,Age 25-44,21.8,Age 18-24,21.6,1.0
2011,Colorado,Cigarette Use among Adults,Age,Age 25-44,21.8,Age 45-64,17.3,1.3
2011,Colorado,Cigarette Use among Adults,Age,Age 25-44,21.8,Age 65 or older,8.8,2.5
2011,Colorado,Cigarette Use among Adults,Age,Age 45-64,17.3,Age 18-24,21.6,0.8
2011,Colorado,Cigarette Use among Adults,Age,Age 45-64,17.3,Age 25-44,21.8,0.8
2011,Colorado,Cigarette Use among Adults,Age,Age 45-64,17.3,Age 65 or older,8.8,2.0
2011,Colorado,Cigarette Use among Adults,Age,Age 65 or older,8.8,Age 18-24,21.6,0.4
2011,Colorado,Cigarette Use among Adults,Age,Age 65 or older,8.8,Age 25-44,21.8,0.4
2011,Colorado,Cigarette Use among Adults,Age,Age 65 or older,8.8,Age 45-64,17.3,0.5
2011,Connecticut,Cigarette Use among Adults,Age,Age 18-24,19.4,Age 25-44,21.5,0.9
2011,Connecticut,Cigarette Use among Adults,Age,Age 18-24,19.4,Age 45-64,16.8,1.2
2011,Connecticut,Cigarette Use among Adults,Age,Age 18-24,19.4,Age 65 or older,8.5,2.3
2011,Connecticut,Cigarette Use among Adults,Age,Age 25-44,21.5,Age 18-24,19.4,1.1
2011,Connecticut,Cigarette Use among Adults,Age,Age 25-44,21.5,Age 45-64,16.8,1.3
2011,Connecticut,Cigarette Use among Adults,Age,Age 25-44,21.5,Age 65 or older,8.5,2.5
2011,Connecticut,Cigarette Use among Adults,Age,Age 45-64,16.8,Age 18-24,19.4,0.9
2011,Connecticut,Cigarette Use among Adults,Age,Age 45-64,16.8,Age 25-44,21.5,0.8
2011,Connecticut,Cigarette Use among Adults,Age,Age 45-64,16.8,Age 65 or older,8.5,2.0
2011,Connecticut,Cigarette Use among Adults,Age,Age 65 or older,8.5,Age 18-24,19.4,0.4
2011,Connecticut,Cigarette Use among Adults,Age,Age 65 or older,8.5,Age 25-44,21.5,0.4
2011,Connecticut,Cigarette Use among Adults,Age,Age 65 or older,8.5,Age 45-64,16.8,0.5
2011,Delaware,Cigarette Use among Adults,Age,Age 18-24,19.2,Age 25-44,30.6,0.6
2011,Delaware,Cigarette Use among Adults,Age,Age 18-24,19.2,Age 45-64,21.2,0.9
2011,Delaware,Cigarette Use among Adults,Age,Age 18-24,19.2,Age 65 or older,8.9,2.2
2011,Delaware,Cigarette Use among Adults,Age,Age 25-44,30.6,Age 18-24,19.2,1.6
2011,Delaware,Cigarette Use among Adults,Age,Age 25-44,30.6,Age 45-64,21.2,1.4
2011,Delaware,Cigarette Use among Adults,Age,Age 25-44,30.6,Age 65 or older,8.9,3.4
2011,Delaware,Cigarette Use among Adults,Age,Age 45-64,21.2,Age 18-24,19.2,1.1
2011,Delaware,Cigarette Use among Adults,Age,Age 45-64,21.2,Age 25-44,30.6,0.7
2011,Delaware,Cigarette Use among Adults,Age,Age 45-64,21.2,Age 65 or older,8.9,2.4
2011,Delaware,Cigarette Use among Adults,Age,Age 65 or older,8.9,Age 18-24,19.2,0.5
2011,Delaware,Cigarette Use among Adults,Age,Age 65 or older,8.9,Age 25-44,30.6,0.3
2011,Delaware,Cigarette Use among Adults,Age,Age 65 or older,8.9,Age 45-64,21.2,0.4
2011,District of Columbia,Cigarette Use among Adults,Age,Age 18-24,16.1,Age 25-44,23.0,0.7
2011,District of Columbia,Cigarette Use among Adults,Age,Age 18-24,16.1,Age 45-64,24.8,0.6
2011,District of Columbia,Cigarette Use among Adults,Age,Age 18-24,16.1,Age 65 or older,11.0,1.5
2011,District of Columbia,Cigarette Use among Adults,Age,Age 25-44,23.0,Age 18-24,16.1,1.4
2011,District of Columbia,Cigarette Use among Adults,Age,Age 25-44,23.0,Age 45-64,24.8,0.9
2011,District of Columbia,Cigarette Use among Adults,Age,Age 25-44,23.0,Age 65 or older,11.0,2.1
2011,District of Columbia,Cigarette Use among Adults,Age,Age 45-64,24.8,Age 18-24,16.1,1.5
2011,District of Columbia,Cigarette Use among Adults,Age,Age 45-64,24.8,Age 25-44,23.0,1.1
2011,District of Columbia,Cigarette Use among Adults,Age,Age 45-64,24.8,Age 65 or older,11.0,2.3
2011,District of Columbia,Cigarette Use among Adults,Age,Age 65 or older,11.0,Age 18-24,16.1,0.7
2011,District of Columbia,Cigarette Use among Adults,Age,Age 65 or older,11.0,Age 25-44,23.0,0.5
2011,District of Columbia,Cigarette Use among Adults,Age,Age 65 or older,11.0,Age 45-64,24.8,0.4
2011,Florida,Cigarette Use among Adults,Age,Age 18-24,20.1,Age 25-44,22.9,0.9
2011,Florida,Cigarette Use among Adults,Age,Age 18-24,20.1,Age 45-64,23.2,0.9
2011,Florida,Cigarette Use among Adults,Age,Age 18-24,20.1,Age 65 or older,7.9,2.5
2011,Florida,Cigarette Use among Adults,Age,Age 25-44,22.9,Age 18-24,20.1,1.1
2011,Florida,Cigarette Use among Adults,Age,Age 25-44,22.9,Age 45-64,23.2,1.0
2011,Florida,Cigarette Use among Adults,Age,Age 25-44,22.9,Age 65 or older,7.9,2.9
2011,Florida,Cigarette Use among Adults,Age,Age 45-64,23.2,Age 18-24,20.1,1.2
2011,Florida,Cigarette Use among Adults,Age,Age 45-64,23.2,Age 25-44,22.9,1.0
2011,Florida,Cigarette Use among Adults,Age,Age 45-64,23.2,Age 65 or older,7.9,2.9
2011,Florida,Cigarette Use among Adults,Age,Age 65 or older,7.9,Age 18-24,20.1,0.4
2011,Florida,Cigarette Use among Adults,Age,Age 65 or older,7.9,Age 25-44,22.9,0.3
2011,Florida,Cigarette Use among Adults,Age,Age 65 or older,7.9,Age 45-64,23.2,0.3
2011,Georgia,Cigarette Use among Adults,Age,Age 18-24,25.0,Age 25-44,23.5,1.1
2011,Georgia,Cigarette Use among Adults,Age,Age 18-24,25.0,Age 45-64,21.6,1.2
2011,Georgia,Cigarette Use among Adults,Age,Age 18-24,25.0,Age 65 or older,10.8,2.3
2011,Georgia,Cigarette Use among Adults,Age,Age 25-44,23.5,Age 18-24,25.0,0.9
2011,Georgia,Cigarette Use among Adults,Age,Age 25-44,23.5,Age 45-64,21.6,1.1
2011,Georgia,Cigarette Use among Adults,Age,Age 25-44,23.5,Age 65 or older,10.8,2.2
2011,Georgia,Cigarette Use among Adults,Age,Age 45-64,21.6,Age 18-24,25.0,0.9
2011,Georgia,Cigarette Use among Adults,Age,Age 45-64,21.6,Age 25-44,23.5,0.9
2011,Georgia,Cigarette Use among Adults,Age,Age 45-64,21.6,Age 65 or older,10.8,2.0
2011,Georgia,Cigarette Use among Adults,Age,Age 65 or older,10.8,Age 18-24,25.0,0.4
2011,Georgia,Cigarette Use among Adults,Age,Age 65 or older,10.8,Age 25-44,23.5,0.5
2011,Georgia,Cigarette Use among Adults,Age,Age 65 or older,10.8,Age 45-64,21.6,0.5
2011,Hawaii,Cigarette Use among Adults,Age,Age 18-24,23.2,Age 25-44,20.6,1.1
2011,Hawaii,Cigarette Use among Adults,Age,Age 18-24,23.2,Age 45-64,16.5,1.4
2011,Hawaii,Cigarette Use among Adults,Age,Age 18-24,23.2,Age 65 or older,6.6,3.5
2011,Hawaii,Cigarette Use among Adults,Age,Age 25-44,20.6,Age 18-24,23.2,0.9
2011,Hawaii,Cigarette Use among Adults,Age,Age 25-44,20.6,Age 45-64,16.5,1.2
2011,Hawaii,Cigarette Use among Adults,Age,Age 25-44,20.6,Age 65 or older,6.6,3.1
2011,Hawaii,Cigarette Use among Adults,Age,Age 45-64,16.5,Age 18-24,23.2,0.7
2011,Hawaii,Cigarette Use among Adults,Age,Age 45-64,16.5,Age 25-44,20.6,0.8
2011,Hawaii,Cigarette Use among Adults,Age,Age 45-64,16.5,Age 65 or older,6.6,2.5
2011,Hawaii,Cigarette Use among Adults,Age,Age 65 or older,6.6,Age 18-24,23.2,0.3
2011,Hawaii,Cigarette Use among Adults,Age,Age 65 or older,6.6,Age 25-44,20.6,0.3
2011,Hawaii,Cigarette Use among Adults,Age,Age 65 or older,6.6,Age 45-64,16.5,0.4
2011,Idaho,Cigarette Use among Adults,Age,Age 18-24,18.2,Age 25-44,20.9,0.9
2011,Idaho,Cigarette Use among Adults,Age,Age 18-24,18.2,Age 45-64,17.3,1.1
2011,Idaho,Cigarette Use among Adults,Age,Age 18-24,18.2,Age 65 or older,8.4,2.2
2011,Idaho,Cigarette Use among Adults,Age,Age 25-44,20.9,Age 18-24,18.2,1.1
2011,Idaho,Cigarette Use among Adults,Age,Age 25-44,20.9,Age 45-64,17.3,1.2
2011,Idaho,Cigarette Use among Adults,Age,Age 25-44,20.9,Age 65 or older,8.4,2.5
2011,Idaho,Cigarette Use among Adults,Age,Age 45-64,17.3,Age 18-24,18.2,1.0
2011,Idaho,Cigarette Use among Adults,Age,Age 45-64,17.3,Age 25-44,20.9,0.8
2011,Idaho,Cigarette Use among Adults,Age,Age 45-64,17.3,Age 65 or older,8.4,2.1
2011,Idaho,Cigarette Use among Adults,Age,Age 65 or older,8.4,Age 18-24,18.2,0.5
2011,Idaho,Cigarette Use among Adults,Age,Age 65 or older,8.4,Age 25-44,20.9,0.4
2011,Idaho,Cigarette Use among Adults,Age,Age 65 or older,8.4,Age 45-64,17.3,0.5
2011,Illinois,Cigarette Use among Adults,Age,Age 18-24,25.2,Age 25-44,24.1,1.0
2011,Illinois,Cigarette Use among Adults,Age,Age 18-24,25.2,Age 45-64,22.5,1.1
2011,Illinois,Cigarette Use among Adults,Age,Age 18-24,25.2,Age 65 or older,7.6,3.3
2011,Illinois,Cigarette Use among Adults,Age,Age 25-44,24.1,Age 18-24,25.2,1.0
2011,Illinois,Cigarette Use among Adults,Age,Age 25-44,24.1,Age 45-64,22.5,1.1
2011,Illinois,Cigarette Use among Adults,Age,Age 25-44,24.1,Age 65 or older,7.6,3.2
2011,Illinois,Cigarette Use among Adults,Age,Age 45-64,22.5,Age 18-24,25.2,0.9
2011,Illinois,Cigarette Use among Adults,Age,Age 45-64,22.5,Age 25-44,24.1,0.9
2011,Illinois,Cigarette Use among Adults,Age,Age 45-64,22.5,Age 65 or older,7.6,3.0
2011,Illinois,Cigarette Use among Adults,Age,Age 65 or older,7.6,Age 18-24,25.2,0.3
2011,Illinois,Cigarette Use among Adults,Age,Age 65 or older,7.6,Age 25-44,24.1,0.3
2011,Illinois,Cigarette Use among Adults,Age,Age 65 or older,7.6,Age 45-64,22.5,0.3
2011,Indiana,Cigarette Use among Adults,Age,Age 18-24,29.0,Age 25-44,30.9,0.9
2011,Indiana,Cigarette Use among Adults,Age,Age 18-24,29.0,Age 45-64,26.3,1.1
2011,Indiana,Cigarette Use among Adults,Age,Age 18-24,29.0,Age 65 or older,11.5,2.5
2011,Indiana,Cigarette Use among Adults,Age,Age 25-44,30.9,Age 18-24,29.0,1.1
2011,Indiana,Cigarette Use among Adults,Age,Age 25-44,30.9,Age 45-64,26.3,1.2
2011,Indiana,Cigarette Use among Adults,Age,Age 25-44,30.9,Age 65 or older,11.5,2.7
2011,Indiana,Cigarette Use among Adults,Age,Age 45-64,26.3,Age 18-24,29.0,0.9
2011,Indiana,Cigarette Use among Adults,Age,Age 45-64,26.3,Age 25-44,30.9,0.9
2011,Indiana,Cigarette Use among Adults,Age,Age 45-64,26.3,Age 65 or older,11.5,2.3
2011,Indiana,Cigarette Use among Adults,Age,Age 65 or older,11.5,Age 18-24,29.0,0.4
2011,Indiana,Cigarette Use among Adults,Age,Age 65 or older,11.5,Age 25-44,30.9,0.4
2011,Indiana,Cigarette Use among Adults,Age,Age 65 or older,11.5,Age 45-64,26.3,0.4
2011,Iowa,Cigarette Use among Adults,Age,Age 18-24,27.1,Age 25-44,25.8,1.1
2011,Iowa,Cigarette Use among Adults,Age,Age 18-24,27.1,Age 45-64,20.3,1.3
2011,Iowa,Cigarette Use among Adults,Age,Age 18-24,27.1,Age 65 or older,7.1,3.8
2011,Iowa,Cigarette Use among Adults,Age,Age 25-44,25.8,Age 18-24,27.1,1.0
2011,Iowa,Cigarette Use among Adults,Age,Age 25-44,25.8,Age 45-64,20.3,1.3
2011,Iowa,Cigarette Use among Adults,Age,Age 25-44,25.8,Age 65 or older,7.1,3.6
2011,Iowa,Cigarette Use among Adults,Age,Age 45-64,20.3,Age 18-24,27.1,0.7
2011,Iowa,Cigarette Use among Adults,Age,Age 45-64,20.3,Age 25-44,25.8,0.8
2011,Iowa,Cigarette Use among Adults,Age,Age 45-64,20.3,Age 65 or older,7.1,2.9
2011,Iowa,Cigarette Use among Adults,Age,Age 65 or older,7.1,Age 18-24,27.1,0.3
2011,Iowa,Cigarette Use among Adults,Age,Age 65 or older,7.1,Age 25-44,25.8,0.3
2011,Iowa,Cigarette Use among Adults,Age,Age 65 or older,7.1,Age 45-64,20.3,0.3
2011,Kansas,Cigarette Use among Adults,Age,Age 18-24,24.5,Age 25-44,27.2,0.9
2011,Kansas,Cigarette Use among Adults,Age,Age 18-24,24.5,Age 45-64,22.4,1.1
2011,Kansas,Cigarette Use among Adults,Age,Age 18-24,24.5,Age 65 or older,9.5,2.6
2011,Kansas,Cigarette Use among Adults,Age,Age 25-44,27.2,Age 18-24,24.5,1.1
2011,Kansas,Cigarette Use among Adults,Age,Age 25-44,27.2,Age 45-64,22.4,1.2
2011,Kansas,Cigarette Use among Adults,Age,Age 25-44,27.2,Age 65 or older,9.5,2.9
2011,Kansas,Cigarette Use among Adults,Age,Age 45-64,22.4,Age 18-24,24.5,0.9
2011,Kansas,Cigarette Use among Adults,Age,Age 45-64,22.4,Age 25-44,27.2,0.8
2011,Kansas,Cigarette Use among Adults,Age,Age 45-64,22.4,Age 65 or older,9.5,2.4
2011,Kansas,Cigarette Use among Adults,Age,Age 65 or older,9.5,Age 18-24,24.5,0.4
2011,Kansas,Cigarette Use among Adults,Age,Age 65 or older,9.5,Age 25-44,27.2,0.3
2011,Kansas,Cigarette Use among Adults,Age,Age 65 or older,9.5,Age 45-64,22.4,0.4
2011,Kentucky,Cigarette Use among Adults,Age,Age 18-24,31.1,Age 25-44,37.3,0.8
2011,Kentucky,Cigarette Use among Adults,Age,Age 18-24,31.1,Age 45-64,29.5,1.1
2011,Kentucky,Cigarette Use among Adults,Age,Age 18-24,31.1,Age 65 or older,10.4,3.0
2011,Kentucky,Cigarette Use among Adults,Age,Age 25-44,37.3,Age 18-24,31.1,1.2
2011,Kentucky,Cigarette Use among Adults,Age,Age 25-44,37.3,Age 45-64,29.5,1.3
2011,Kentucky,Cigarette Use among Adults,Age,Age 25-44,37.3,Age 65 or older,10.4,3.6
2011,Kentucky,Cigarette Use among Adults,Age,Age 45-64,29.5,Age 18-24,31.1,0.9
2011,Kentucky,Cigarette Use among Adults,Age,Age 45-64,29.5,Age 25-44,37.3,0.8
2011,Kentucky,Cigarette Use among Adults,Age,Age 45-64,29.5,Age 65 or older,10.4,2.8
2011,Kentucky,Cigarette Use among Adults,Age,Age 65 or older,10.4,Age 18-24,31.1,0.3
2011,Kentucky,Cigarette Use among Adults,Age,Age 65 or older,10.4,Age 25-44,37.3,0.3
2011,Kentucky,Cigarette Use among Adults,Age,Age 65 or older,10.4,Age 45-64,29.5,0.4
2011,Louisiana,Cigarette Use among Adults,Age,Age 18-24,22.8,Age 25-44,33.1,0.7
2011,Louisiana,Cigarette Use among Adults,Age,Age 18-24,22.8,Age 45-64,26.1,0.9
2011,Louisiana,Cigarette Use among Adults,Age,Age 18-24,22.8,Age 65 or older,12.1,1.9
2011,Louisiana,Cigarette Use among Adults,Age,Age 25-44,33.1,Age 18-24,22.8,1.5
2011,Louisiana,Cigarette Use among Adults,Age,Age 25-44,33.1,Age 45-64,26.1,1.3
2011,Louisiana,Cigarette Use among Adults,Age,Age 25-44,33.1,Age 65 or older,12.1,2.7
2011,Louisiana,Cigarette Use among Adults,Age,Age 45-64,26.1,Age 18-24,22.8,1.1
2011,Louisiana,Cigarette Use among Adults,Age,Age 45-64,26.1,Age 25-44,33.1,0.8
2011,Louisiana,Cigarette Use among Adults,Age,Age 45-64,26.1,Age 65 or older,12.1,2.2
2011,Louisiana,Cigarette Use among Adults,Age,Age 65 or older,12.1,Age 18-24,22.8,0.5
2011,Louisiana,Cigarette Use among Adults,Age,Age 65 or older,12.1,Age 25-44,33.1,0.4
2011,Louisiana,Cigarette Use among Adults,Age,Age 65 or older,12.1,Age 45-64,26.1,0.5
2011,Maine,Cigarette Use among Adults,Age,Age 18-24,29.2,Age 25-44,32.8,0.9
2011,Maine,Cigarette Use among Adults,Age,Age 18-24,29.2,Age 45-64,20.9,1.4
2011,Maine,Cigarette Use among Adults,Age,Age 18-24,29.2,Age 65 or older,7.9,3.7
2011,Maine,Cigarette Use among Adults,Age,Age 25-44,32.8,Age 18-24,29.2,1.1
2011,Maine,Cigarette Use among Adults,Age,Age 25-44,32.8,Age 45-64,20.9,1.6
2011,Maine,Cigarette Use among Adults,Age,Age 25-44,32.8,Age 65 or older,7.9,4.2
2011,Maine,Cigarette Use among Adults,Age,Age 45-64,20.9,Age 18-24,29.2,0.7
2011,Maine,Cigarette Use among Adults,Age,Age 45-64,20.9,Age 25-44,32.8,0.6
2011,Maine,Cigarette Use among Adults,Age,Age 45-64,20.9,Age 65 or older,7.9,2.6
2011,Maine,Cigarette Use among Adults,Age,Age 65 or older,7.9,Age 18-24,29.2,0.3
2011,Maine,Cigarette Use among Adults,Age,Age 65 or older,7.9,Age 25-44,32.8,0.2
2011,Maine,Cigarette Use among Adults,Age,Age 65 or older,7.9,Age 45-64,20.9,0.4
2011,Maryland,Cigarette Use among Adults,Age,Age 18-24,23.0,Age 25-44,21.8,1.1
2011,Maryland,Cigarette Use among Adults,Age,Age 18-24,23.0,Age 45-64,19.7,1.2
2011,Maryland,Cigarette Use among Adults,Age,Age 18-24,23.0,Age 65 or older,9.2,2.5
2011,Maryland,Cigarette Use among Adults,Age,Age 25-44,21.8,Age 18-24,23.0,0.9
2011,Maryland,Cigarette Use among Adults,Age,Age 25-44,21.8,Age 45-64,19.7,1.1
2011,Maryland,Cigarette Use among Adults,Age,Age 25-44,21.8,Age 65 or older,9.2,2.4
2011,Maryland,Cigarette Use among Adults,Age,Age 45-64,19.7,Age 18-24,23.0,0.9
2011,Maryland,Cigarette Use among Adults,Age,Age 45-64,19.7,Age 25-44,21.8,0.9
2011,Maryland,Cigarette Use among Adults,Age,Age 45-64,19.7,Age 65 or older,9.2,2.1
2011,Maryland,Cigarette Use among Adults,Age,Age 65 or older,9.2,Age 18-24,23.0,0.4
2011,Maryland,Cigarette Use among Adults,Age,Age 65 or older,9.2,Age 25-44,21.8,0.4
2011,Maryland,Cigarette Use among Adults,Age,Age 65 or older,9.2,Age 45-64,19.7,0.5
2011,Massachusetts,Cigarette Use among Adults,Age,Age 18-24,22.6,Age 25-44,23.2,1.0
2011,Massachusetts,Cigarette Use among Adults,Age,Age 18-24,22.6,Age 45-64,16.6,1.4
2011,Massachusetts,Cigarette Use among Adults,Age,Age 18-24,22.6,Age 65 or older,9.0,2.5
2011,Massachusetts,Cigarette Use among Adults,Age,Age 25-44,23.2,Age 18-24,22.6,1.0
2011,Massachusetts,Cigarette Use among Adults,Age,Age 25-44,23.2,Age 45-64,16.6,1.4
2011,Massachusetts,Cigarette Use among Adults,Age,Age 25-44,23.2,Age 65 or older,9.0,2.6
2011,Massachusetts,Cigarette Use among Adults,Age,Age 45-64,16.6,Age 18-24,22.6,0.7
2011,Massachusetts,Cigarette Use among Adults,Age,Age 45-64,16.6,Age 25-44,23.2,0.7
2011,Massachusetts,Cigarette Use among Adults,Age,Age 45-64,16.6,Age 65 or older,9.0,1.8
2011,Massachusetts,Cigarette Use among Adults,Age,Age 65 or older,9.0,Age 18-24,22.6,0.4
2011,Massachusetts,Cigarette Use among Adults,Age,Age 65 or older,9.0,Age 25-44,23.2,0.4
2011,Massachusetts,Cigarette Use among Adults,Age,Age 65 or older,9.0,Age 45-64,16.6,0.5
2011,Michigan,Cigarette Use among Adults,Age,Age 18-24,24.3,Age 25-44,29.5,0.8
2011,Michigan,Cigarette Use among Adults,Age,Age 18-24,24.3,Age 45-64,24.1,1.0
2011,Michigan,Cigarette Use among Adults,Age,Age 18-24,24.3,Age 65 or older,9.9,2.5
2011,Michigan,Cigarette Use among Adults,Age,Age 25-44,29.5,Age 18-24,24.3,1.2
2011,Michigan,Cigarette Use among Adults,Age,Age 25-44,29.5,Age 45-64,24.1,1.2
2011,Michigan,Cigarette Use among Adults,Age,Age 25-44,29.5,Age 65 or older,9.9,3.0
2011,Michigan,Cigarette Use among Adults,Age,Age 45-64,24.1,Age 18-24,24.3,1.0
2011,Michigan,Cigarette Use among Adults,Age,Age 45-64,24.1,Age 25-44,29.5,0.8
2011,Michigan,Cigarette Use among Adults,Age,Age 45-64,24.1,Age 65 or older,9.9,2.4
2011,Michigan,Cigarette Use among Adults,Age,Age 65 or older,9.9,Age 18-24,24.3,0.4
2011,Michigan,Cigarette Use among Adults,Age,Age 65 or older,9.9,Age 25-44,29.5,0.3
2011,Michigan,Cigarette Use among Adults,Age,Age 65 or older,9.9,Age 45-64,24.1,0.4
2011,Minnesota,Cigarette Use among Adults,Age,Age 18-24,24.7,Age 25-44,22.6,1.1
2011,Minnesota,Cigarette Use among Adults,Age,Age 18-24,24.7,Age 45-64,18.7,1.3
