Year,State,Demographic,Comparing (Focus group),Cigarette Use Prevalence % (Focus group)
2011,New Jersey,Age,Age 45-64,17.7
2011,New Jersey,Age,Age 65 or older,8.9
2011,New Mexico,Age,Age 18-24,21.4
2011,New Mexico,Age,Age 25-44,27.5
2011,New Mexico,Age,Age 45-64,21.4
2011,New Mexico,Age,Age 65 or older,9.8
2011,New York,Age,Age 18-24,21.6
2011,New York,Age,Age 25-44,20.8
2011,New York,Age,Age 45-64,19.3
2011,New York,Age,Age 65 or older,8.3
2011,North Carolina,Age,Age 18-24,24.0
2011,North Carolina,Age,Age 25-44,25.6
2011,North Carolina,Age,Age 45-64,23.4
2011,North Carolina,Age,Age 65 or older,9.2
2011,North Dakota,Age,Age 18-24,29.1
2011,North Dakota,Age,Age 25-44,26.8
2011,North Dakota,Age,Age 45-64,21.3
2011,North Dakota,Age,Age 65 or older,8.6
2011,Ohio,Age,Age 18-24,30.5
2011,Ohio,Age,Age 25-44,30.3
2011,Ohio,Age,Age 45-64,26.3
2011,Ohio,Age,Age 65 or older,9.7
2011,Oklahoma,Age,Age 18-24,26.1
2011,Oklahoma,Age,Age 25-44,31.5
2011,Oklahoma,Age,Age 45-64,28.6
2011,Oklahoma,Age,Age 65 or older,11.7
2011,Oregon,Age,Age 18-24,22.6
2011,Oregon,Age,Age 25-44,24.8
2011,Oregon,Age,Age 45-64,19.2
2011,Oregon,Age,Age 65 or older,9.6
2011,Pennsylvania,Age,Age 18-24,27.8
2011,Pennsylvania,Age,Age 25-44,27.6
2011,Pennsylvania,Age,Age 45-64,23.5
2011,Pennsylvania,Age,Age 65 or older,9.1
2011,Rhode Island,Age,Age 18-24,18.1
2011,Rhode Island,Age,Age 25-44,26.2
2011,Rhode Island,Age,Age 45-64,20.7
2011,Rhode Island,Age,Age 65 or older,9.3
2011,South Carolina,Age,Age 18-24,27.1
2011,South Carolina,Age,Age 25-44,29.2
2011,South Carolina,Age,Age 45-64,23.2
2011,South Carolina,Age,Age 65 or older,9.0
2011,South Dakota,Age,Age 18-24,34.4
2011,South Dakota,Age,Age 25-44,28.5
2011,South Dakota,Age,Age 45-64,21.0
2011,South Dakota,Age,Age 65 or older,9.5
2011,Tennessee,Age,Age 18-24,26.6
2011,Tennessee,Age,Age 25-44,26.9
2011,Tennessee,Age,Age 45-64,24.1
2011,Tennessee,Age,Age 65 or older,10.9
2011,Texas,Age,Age 18-24,20.7
2011,Texas,Age,Age 25-44,21.9
2011,Texas,Age,Age 45-64,20.0
2011,Texas,Age,Age 65 or older,8.8
2011,Utah,Age,Age 18-24,11.1
2011,Utah,Age,Age 25-44,14.5
2011,Utah,Age,Age 45-64,11.8
2011,Utah,Age,Age 65 or older,4.7
2011,Vermont,Age,Age 18-24,23.9
2011,Vermont,Age,Age 25-44,26.8
2011,Vermont,Age,Age 45-64,17.9
2011,Vermont,Age,Age 65 or older,6.1
2011,Virginia,Age,Age 18-24,26.1
2011,Virginia,Age,Age 25-44,24.6
2011,Virginia,Age,Age 45-64,21.0
2011,Virginia,Age,Age 65 or older,8.9
2011,Washington,Age,Age 18-24,15.8
2011,Washington,Age,Age 25-44,22.7
2011,Washington,Age,Age 45-64,17.5
2011,Washington,Age,Age 65 or older,7.5
2011,West Virginia,Age,Age 18-24,38.5
2011,West Virginia,Age,Age 25-44,38.0
2011,West Virginia,Age,Age 45-64,27.4
2011,West Virginia,Age,Age 65 or older,10.9
2011,Wisconsin,Age,Age 18-24,23.0
2011,Wisconsin,Age,Age 25-44,26.4
2011,Wisconsin,Age,Age 45-64,20.7
2011,Wisconsin,Age,Age 65 or older,9.7
2011,Wyoming,Age,Age 18-24,25.4
2011,Wyoming,Age,Age 25-44,27.2
2011,Wyoming,Age,Age 45-64,23.5
2011,Wyoming,Age,Age 65 or older,11.8
2012,Alabama,Age,Age 18-24,27.5
2012,Alabama,Age,Age 25-44,28.9
2012,Alabama,Age,Age 45-64,25.2
2012,Alabama,Age,Age 65 or older,9.7
2012,Alaska,Age,Age 18-24,24.0
2012,Alaska,Age,Age 25-44,21.2
2012,Alaska,Age,Age 45-64,21.5
2012,Alaska,Age,Age 65 or older,11.6
2012,Arizona,Age,Age 18-24,18.9
2012,Arizona,Age,Age 25-44,19.0
2012,Arizona,Age,Age 45-64,18.9
2012,Arizona,Age,Age 65 or older,9.5
2012,Arkansas,Age,Age 18-24,27.3
2012,Arkansas,Age,Age 25-44,30.5
2012,Arkansas,Age,Age 45-64,27.7
2012,Arkansas,Age,Age 65 or older,10.2
2012,California,Age,Age 18-24,11.9
2012,California,Age,Age 25-44,15.0
2012,California,Age,Age 45-64,13.4
2012,California,Age,Age 65 or older,5.9
2012,Colorado,Age,Age 18-24,16.8
2012,Colorado,Age,Age 25-44,21.3
2012,Colorado,Age,Age 45-64,18.3
2012,Colorado,Age,Age 65 or older,9.1
2012,Connecticut,Age,Age 18-24,17.7
2012,Connecticut,Age,Age 25-44,21.7
2012,Connecticut,Age,Age 45-64,15.1
2012,Connecticut,Age,Age 65 or older,7.6
2012,Delaware,Age,Age 18-24,21.3
2012,Delaware,Age,Age 25-44,25.3
2012,Delaware,Age,Age 45-64,20.1
2012,Delaware,Age,Age 65 or older,8.9
2012,District of Columbia,Age,Age 18-24,21.9
2012,District of Columbia,Age,Age 25-44,17.8
2012,District of Columbia,Age,Age 45-64,26.9
2012,District of Columbia,Age,Age 65 or older,8.2
2012,Florida,Age,Age 18-24,17.8
2012,Florida,Age,Age 25-44,21.6
2012,Florida,Age,Age 45-64,20.5
2012,Florida,Age,Age 65 or older,8.1
2012,Georgia,Age,Age 18-24,22.3
2012,Georgia,Age,Age 25-44,23.2
2012,Georgia,Age,Age 45-64,21.4
2012,Georgia,Age,Age 65 or older,9.9
2012,Hawaii,Age,Age 18-24,17.6
2012,Hawaii,Age,Age 25-44,18.7
2012,Hawaii,Age,Age 45-64,14.8
2012,Hawaii,Age,Age 65 or older,5.3
2012,Idaho,Age,Age 18-24,21.0
2012,Idaho,Age,Age 25-44,20.3
2012,Idaho,Age,Age 45-64,14.6
2012,Idaho,Age,Age 65 or older,8.8
2012,Illinois,Age,Age 18-24,15.4
2012,Illinois,Age,Age 25-44,24.4
2012,Illinois,Age,Age 45-64,19.4
2012,Illinois,Age,Age 65 or older,7.7
2012,Indiana,Age,Age 18-24,26.1
2012,Indiana,Age,Age 25-44,28.9
2012,Indiana,Age,Age 45-64,25.9
2012,Indiana,Age,Age 65 or older,9.9
2012,Iowa,Age,Age 18-24,17.4
2012,Iowa,Age,Age 25-44,23.3
2012,Iowa,Age,Age 45-64,19.4
2012,Iowa,Age,Age 65 or older,8.5
2012,Kansas,Age,Age 18-24,22.6
2012,Kansas,Age,Age 25-44,23.8
2012,Kansas,Age,Age 45-64,19.6
2012,Kansas,Age,Age 65 or older,8.8
2012,Kentucky,Age,Age 18-24,31.3
2012,Kentucky,Age,Age 25-44,36.7
2012,Kentucky,Age,Age 45-64,27.8
2012,Kentucky,Age,Age 65 or older,12.2
2012,Louisiana,Age,Age 18-24,21.2
2012,Louisiana,Age,Age 25-44,31.6
2012,Louisiana,Age,Age 45-64,25.8
2012,Louisiana,Age,Age 65 or older,12.0
2012,Maine,Age,Age 18-24,26.5
2012,Maine,Age,Age 25-44,28.1
2012,Maine,Age,Age 45-64,19.6
2012,Maine,Age,Age 65 or older,7.7
2012,Maryland,Age,Age 18-24,14.4
2012,Maryland,Age,Age 25-44,19.4
2012,Maryland,Age,Age 45-64,17.2
2012,Maryland,Age,Age 65 or older,9.0
2012,Massachusetts,Age,Age 18-24,17.7
2012,Massachusetts,Age,Age 25-44,20.8
2012,Massachusetts,Age,Age 45-64,16.0
2012,Massachusetts,Age,Age 65 or older,8.4
2012,Michigan,Age,Age 18-24,24.9
2012,Michigan,Age,Age 25-44,29.8
2012,Michigan,Age,Age 45-64,25.4
2012,Michigan,Age,Age 65 or older,7.7
2012,Minnesota,Age,Age 18-24,20.6
2012,Minnesota,Age,Age 25-44,24.2
2012,Minnesota,Age,Age 45-64,18.2
2012,Minnesota,Age,Age 65 or older,8.8
2012,Mississippi,Age,Age 18-24,23.8
2012,Mississippi,Age,Age 25-44,28.4
2012,Mississippi,Age,Age 45-64,27.3
2012,Mississippi,Age,Age 65 or older,9.6
2012,Missouri,Age,Age 18-24,23.4
2012,Missouri,Age,Age 25-44,30.0
2012,Missouri,Age,Age 45-64,25.2
2012,Missouri,Age,Age 65 or older,11.7
2012,Montana,Age,Age 18-24,26.0
2012,Montana,Age,Age 25-44,24.1
2012,Montana,Age,Age 45-64,20.5
2012,Montana,Age,Age 65 or older,7.8
2012,Nebraska,Age,Age 18-24,22.6
2012,Nebraska,Age,Age 25-44,24.8
2012,Nebraska,Age,Age 45-64,19.9
2012,Nebraska,Age,Age 65 or older,8.4
2012,Nevada,Age,Age 18-24,15.4
2012,Nevada,Age,Age 25-44,17.2
2012,Nevada,Age,Age 45-64,22.2
2012,Nevada,Age,Age 65 or older,14.2
2012,New Hampshire,Age,Age 18-24,19.5
2012,New Hampshire,Age,Age 25-44,24.0
2012,New Hampshire,Age,Age 45-64,16.2
2012,New Hampshire,Age,Age 65 or older,6.9
2012,New Jersey,Age,Age 18-24,21.5
2012,New Jersey,Age,Age 25-44,20.7
2012,New Jersey,Age,Age 45-64,17.8
2012,New Jersey,Age,Age 65 or older,8.0
2012,New Mexico,Age,Age 18-24,18.4
2012,New Mexico,Age,Age 25-44,25.6
2012,New Mexico,Age,Age 45-64,18.6
2012,New Mexico,Age,Age 65 or older,10.1
2012,New York,Age,Age 18-24,17.4
2012,New York,Age,Age 25-44,18.4
2012,New York,Age,Age 45-64,18.0
2012,New York,Age,Age 65 or older,8.1
2012,North Carolina,Age,Age 18-24,20.7
2012,North Carolina,Age,Age 25-44,25.8
2012,North Carolina,Age,Age 45-64,22.2
2012,North Carolina,Age,Age 65 or older,9.2
2012,North Dakota,Age,Age 18-24,22.4
2012,North Dakota,Age,Age 25-44,28.6
2012,North Dakota,Age,Age 45-64,21.0
2012,North Dakota,Age,Age 65 or older,8.6
2012,Ohio,Age,Age 18-24,24.3
2012,Ohio,Age,Age 25-44,28.7
2012,Ohio,Age,Age 45-64,25.2
2012,Ohio,Age,Age 65 or older,10.2
2012,Oklahoma,Age,Age 18-24,28.0
2012,Oklahoma,Age,Age 25-44,27.4
2012,Oklahoma,Age,Age 45-64,24.3
2012,Oklahoma,Age,Age 65 or older,10.6
2012,Oregon,Age,Age 18-24,17.3
2012,Oregon,Age,Age 25-44,22.0
2012,Oregon,Age,Age 45-64,19.2
2012,Oregon,Age,Age 65 or older,8.6
2012,Pennsylvania,Age,Age 18-24,23.0
2012,Pennsylvania,Age,Age 25-44,29.8
2012,Pennsylvania,Age,Age 45-64,21.1
2012,Pennsylvania,Age,Age 65 or older,8.3
2012,Rhode Island,Age,Age 18-24,17.8
2012,Rhode Island,Age,Age 25-44,22.2
2012,Rhode Island,Age,Age 45-64,17.8
2012,Rhode Island,Age,Age 65 or older,8.8
2012,South Carolina,Age,Age 18-24,25.6
2012,South Carolina,Age,Age 25-44,27.9
2012,South Carolina,Age,Age 45-64,23.1
2012,South Carolina,Age,Age 65 or older,10.1
2012,South Dakota,Age,Age 18-24,29.9
2012,South Dakota,Age,Age 25-44,26.2
2012,South Dakota,Age,Age 45-64,22.4
2012,South Dakota,Age,Age 65 or older,9.2
2012,Tennessee,Age,Age 18-24,24.6
2012,Tennessee,Age,Age 25-44,29.9
2012,Tennessee,Age,Age 45-64,26.7
2012,Tennessee,Age,Age 65 or older,12.5
2012,Texas,Age,Age 18-24,18.5
2012,Texas,Age,Age 25-44,21.2
2012,Texas,Age,Age 45-64,18.4
2012,Texas,Age,Age 65 or older,9.7
2012,Utah,Age,Age 18-24,11.8
2012,Utah,Age,Age 25-44,11.4
2012,Utah,Age,Age 45-64,11.4
2012,Utah,Age,Age 65 or older,4.7
2012,Vermont,Age,Age 18-24,19.8
2012,Vermont,Age,Age 25-44,21.7
2012,Vermont,Age,Age 45-64,16.8
2012,Vermont,Age,Age 65 or older,6.0
2012,Virginia,Age,Age 18-24,21.4
2012,Virginia,Age,Age 25-44,20.1
2012,Virginia,Age,Age 45-64,21.5
2012,Virginia,Age,Age 65 or older,9.6
2012,Washington,Age,Age 18-24,14.8
2012,Washington,Age,Age 25-44,21.9
2012,Washington,Age,Age 45-64,18.1
2012,Washington,Age,Age 65 or older,7.5
2012,West Virginia,Age,Age 18-24,33.2
2012,West Virginia,Age,Age 25-44,37.4
2012,West Virginia,Age,Age 45-64,29.5
2012,West Virginia,Age,Age 65 or older,10.4
2012,Wisconsin,Age,Age 18-24,20.4
2012,Wisconsin,Age,Age 25-44,24.6
2012,Wisconsin,Age,Age 45-64,23.8
2012,Wisconsin,Age,Age 65 or older,6.7
2012,Wyoming,Age,Age 18-24,28.7
2012,Wyoming,Age,Age 25-44,28.3
2012,Wyoming,Age,Age 45-64,18.5
2012,Wyoming,Age,Age 65 or older,11.2
2013,Alabama,Age,Age 18-24,17.1
2013,Alabama,Age,Age 25-44,28.2
2013,Alabama,Age,Age 45-64,24.0
2013,Alabama,Age,Age 65 or older,8.9
2013,Alaska,Age,Age 18-24,20.9
2013,Alaska,Age,Age 25-44,25.6
2013,Alaska,Age,Age 45-64,23.9
2013,Alaska,Age,Age 65 or older,11.7
2013,Arizona,Age,Age 18-24,18.8
2013,Arizona,Age,Age 25-44,15.2
2013,Arizona,Age,Age 45-64,21.7
2013,Arizona,Age,Age 65 or older,7.9
2013,Arkansas,Age,Age 18-24,23.9
2013,Arkansas,Age,Age 25-44,33.4
2013,Arkansas,Age,Age 45-64,28.3
2013,Arkansas,Age,Age 65 or older,11.1
2013,California,Age,Age 18-24,13.3
2013,California,Age,Age 25-44,13.2
2013,California,Age,Age 45-64,14.2
2013,California,Age,Age 65 or older,7.2
2013,Colorado,Age,Age 18-24,22.1
2013,Colorado,Age,Age 25-44,20.3
2013,Colorado,Age,Age 45-64,17.2
2013,Colorado,Age,Age 65 or older,9.1
2013,Connecticut,Age,Age 18-24,12.2
2013,Connecticut,Age,Age 25-44,20.6
2013,Connecticut,Age,Age 45-64,16.8
2013,Connecticut,Age,Age 65 or older,7.4
2013,Delaware,Age,Age 18-24,20.1
2013,Delaware,Age,Age 25-44,24.4
2013,Delaware,Age,Age 45-64,21.4
2013,Delaware,Age,Age 65 or older,8.4
2013,District of Columbia,Age,Age 18-24,17.6
2013,District of Columbia,Age,Age 25-44,18.7
2013,District of Columbia,Age,Age 45-64,25.2
2013,District of Columbia,Age,Age 65 or older,8.0
2013,Florida,Age,Age 18-24,16.2
2013,Florida,Age,Age 25-44,20.2
2013,Florida,Age,Age 45-64,19.7
2013,Florida,Age,Age 65 or older,8.7
2013,Georgia,Age,Age 18-24,16.6
2013,Georgia,Age,Age 25-44,23.3
2013,Georgia,Age,Age 45-64,19.7
2013,Georgia,Age,Age 65 or older,8.7
2013,Hawaii,Age,Age 18-24,15.2
2013,Hawaii,Age,Age 25-44,17.7
2013,Hawaii,Age,Age 45-64,12.7
2013,Hawaii,Age,Age 65 or older,6.0
2013,Idaho,Age,Age 18-24,18.5
2013,Idaho,Age,Age 25-44,21.3
2013,Idaho,Age,Age 45-64,17.4
2013,Idaho,Age,Age 65 or older,8.2
2013,Illinois,Age,Age 18-24,19.8
2013,Illinois,Age,Age 25-44,21.3
2013,Illinois,Age,Age 45-64,19.0
2013,Illinois,Age,Age 65 or older,8.6
2013,Indiana,Age,Age 18-24,19.7
2013,Indiana,Age,Age 25-44,29.0
2013,Indiana,Age,Age 45-64,22.7
2013,Indiana,Age,Age 65 or older,9.6
2013,Iowa,Age,Age 18-24,21.9
2013,Iowa,Age,Age 25-44,23.4
2013,Iowa,Age,Age 45-64,22.0
2013,Iowa,Age,Age 65 or older,8.0
2013,Kansas,Age,Age 18-24,19.2
2013,Kansas,Age,Age 25-44,25.4
2013,Kansas,Age,Age 45-64,21.2
2013,Kansas,Age,Age 65 or older,9.1
2013,Kentucky,Age,Age 18-24,28.7
2013,Kentucky,Age,Age 25-44,33.7
2013,Kentucky,Age,Age 45-64,26.9
2013,Kentucky,Age,Age 65 or older,11.8
2013,Louisiana,Age,Age 18-24,22.5
2013,Louisiana,Age,Age 25-44,28.7
2013,Louisiana,Age,Age 45-64,25.0
2013,Louisiana,Age,Age 65 or older,11.5
2013,Maine,Age,Age 18-24,23.6
2013,Maine,Age,Age 25-44,29.4
2013,Maine,Age,Age 45-64,20.1
2013,Maine,Age,Age 65 or older,6.8
2013,Maryland,Age,Age 18-24,16.0
2013,Maryland,Age,Age 25-44,19.8
2013,Maryland,Age,Age 45-64,17.1
2013,Maryland,Age,Age 65 or older,8.7
2013,Massachusetts,Age,Age 18-24,19.7
2013,Massachusetts,Age,Age 25-44,19.0
2013,Massachusetts,Age,Age 45-64,17.1
2013,Massachusetts,Age,Age 65 or older,9.6
2013,Michigan,Age,Age 18-24,19.7
2013,Michigan,Age,Age 25-44,28.8
2013,Michigan,Age,Age 45-64,22.2
2013,Michigan,Age,Age 65 or older,9.4
2013,Minnesota,Age,Age 18-24,21.9
2013,Minnesota,Age,Age 25-44,21.5
2013,Minnesota,Age,Age 45-64,18.0
2013,Minnesota,Age,Age 65 or older,9.3
2013,Mississippi,Age,Age 18-24,26.5
2013,Mississippi,Age,Age 25-44,29.1
2013,Mississippi,Age,Age 45-64,26.5
2013,Mississippi,Age,Age 65 or older,12.9
2013,Missouri,Age,Age 18-24,23.8
2013,Missouri,Age,Age 25-44,26.2
2013,Missouri,Age,Age 45-64,24.1
2013,Missouri,Age,Age 65 or older,10.7
2013,Montana,Age,Age 18-24,24.6
2013,Montana,Age,Age 25-44,22.2
2013,Montana,Age,Age 45-64,19.7
2013,Montana,Age,Age 65 or older,9.7
2013,Nebraska,Age,Age 18-24,18.6
2013,Nebraska,Age,Age 25-44,23.4
2013,Nebraska,Age,Age 45-64,19.1
2013,Nebraska,Age,Age 65 or older,8.6
2013,Nevada,Age,Age 18-24,14.5
2013,Nevada,Age,Age 25-44,20.7
2013,Nevada,Age,Age 45-64,21.8
2013,Nevada,Age,Age 65 or older,15.4
2013,New Hampshire,Age,Age 18-24,17.7
2013,New Hampshire,Age,Age 25-44,21.5
2013,New Hampshire,Age,Age 45-64,16.4
2013,New Hampshire,Age,Age 65 or older,7.1
2013,New Jersey,Age,Age 18-24,18.5
2013,New Jersey,Age,Age 25-44,17.3
2013,New Jersey,Age,Age 45-64,17.4
2013,New Jersey,Age,Age 65 or older,7.7
2013,New Mexico,Age,Age 18-24,19.7
2013,New Mexico,Age,Age 25-44,22.4
2013,New Mexico,Age,Age 45-64,20.8
2013,New Mexico,Age,Age 65 or older,9.9
2013,New York,Age,Age 18-24,18.6
2013,New York,Age,Age 25-44,21.0
2013,New York,Age,Age 45-64,17.1
2013,New York,Age,Age 65 or older,6.5
2013,North Carolina,Age,Age 18-24,23.5
2013,North Carolina,Age,Age 25-44,22.6
2013,North Carolina,Age,Age 45-64,22.5
2013,North Carolina,Age,Age 65 or older,9.7
2013,North Dakota,Age,Age 18-24,27.3
2013,North Dakota,Age,Age 25-44,24.9
2013,North Dakota,Age,Age 45-64,21.4
2013,North Dakota,Age,Age 65 or older,10.1
2013,Ohio,Age,Age 18-24,24.6
2013,Ohio,Age,Age 25-44,30.1
2013,Ohio,Age,Age 45-64,24.6
2013,Ohio,Age,Age 65 or older,9.7
2013,Oklahoma,Age,Age 18-24,26.3
2013,Oklahoma,Age,Age 25-44,28.3
2013,Oklahoma,Age,Age 45-64,26.0
2013,Oklahoma,Age,Age 65 or older,9.9
2013,Oregon,Age,Age 18-24,18.0
2013,Oregon,Age,Age 25-44,20.8
2013,Oregon,Age,Age 45-64,19.0
2013,Oregon,Age,Age 65 or older,8.0
2013,Pennsylvania,Age,Age 18-24,24.0
2013,Pennsylvania,Age,Age 25-44,26.3
2013,Pennsylvania,Age,Age 45-64,21.8
2013,Pennsylvania,Age,Age 65 or older,10.0
2013,Rhode Island,Age,Age 18-24,15.9
2013,Rhode Island,Age,Age 25-44,25.0
2013,Rhode Island,Age,Age 45-64,17.1
2013,Rhode Island,Age,Age 65 or older,7.0
2013,South Carolina,Age,Age 18-24,22.0
2013,South Carolina,Age,Age 25-44,28.1
2013,South Carolina,Age,Age 45-64,24.1
2013,South Carolina,Age,Age 65 or older,8.4
2013,South Dakota,Age,Age 18-24,27.3
2013,South Dakota,Age,Age 25-44,25.0
2013,South Dakota,Age,Age 45-64,17.9
2013,South Dakota,Age,Age 65 or older,8.4
2013,Tennessee,Age,Age 18-24,23.4
2013,Tennessee,Age,Age 25-44,28.1
2013,Tennessee,Age,Age 45-64,28.3
2013,Tennessee,Age,Age 65 or older,10.8
2013,Texas,Age,Age 18-24,15.2
2013,Texas,Age,Age 25-44,18.4
2013,Texas,Age,Age 45-64,16.7
2013,Texas,Age,Age 65 or older,8.7
2013,Utah,Age,Age 18-24,8.8
2013,Utah,Age,Age 25-44,12.1
2013,Utah,Age,Age 45-64,11.8
2013,Utah,Age,Age 65 or older,4.2
2013,Vermont,Age,Age 18-24,18.8
2013,Vermont,Age,Age 25-44,22.9
2013,Vermont,Age,Age 45-64,16.1
2013,Vermont,Age,Age 65 or older,7.4
2013,Virginia,Age,Age 18-24,18.7
2013,Virginia,Age,Age 25-44,21.7
2013,Virginia,Age,Age 45-64,20.9
2013,Virginia,Age,Age 65 or older,10.4
2013,Washington,Age,Age 18-24,16.9
2013,Washington,Age,Age 25-44,19.4
2013,Washington,Age,Age 45-64,16.9
2013,Washington,Age,Age 65 or older,7.3
2013,West Virginia,Age,Age 18-24,33.5
2013,West Virginia,Age,Age 25-44,35.4
2013,West Virginia,Age,Age 45-64,28.2
2013,West Virginia,Age,Age 65 or older,11.2
2013,Wisconsin,Age,Age 18-24,15.9
2013,Wisconsin,Age,Age 25-44,25.2
2013,Wisconsin,Age,Age 45-64,20.6
2013,Wisconsin,Age,Age 65 or older,6.4
2013,Wyoming,Age,Age 18-24,26.8
2013,Wyoming,Age,Age 25-44,24.0
2013,Wyoming,Age,Age 45-64,21.0
2013,Wyoming,Age,Age 65 or older,9.5
2014,Alabama,Age,Age 18-24,23.5
2014,Alabama,Age,Age 25-44,25.4
